Date,AAPL,MSFT,NVDA,JPM
2026-03-12,40794000,27263900,155762700,13760500.0
2026-03-13,36930000,26848000,160988400,9091200.0
2026-03-16,32074200,27733700,217307400,8149000.0
2026-03-17,32361600,26228300,182497800,8961200.0
2026-03-18,35757900,25908500,156683100,10057000.0
2026-03-19,34864100,25138800,170968500,9846700.0
2026-03-20,88331100,50853200,241323500,22436500.0
2026-03-23,40546100,29680100,182836300,11470800.0
2026-03-24,45152300,42733600,147667800,11092300.0
2026-03-25,28476700,31181200,162602100,12188200.0
2026-03-26,41796700,36836600,186152200,8669200.0
2026-03-27,47900000,37883400,196212700,9873300.0
2026-03-30,39446200,44797000,185627000,11734400.0
2026-03-31,49598100,45244400,226181300,12956900.0
2026-04-01,40059400,29417200,168132000,11267200.0
2026-04-02,31289400,24099100,143143200,6669300.0
2026-04-06,29329900,16146600,107564300,7142600.0
2026-04-07,62148000,21443300,132534900,7849100.0
2026-04-08,41032800,33064800,147732700,10590200.0
2026-04-09,28121600,30435300,116428500,6586600.0
2026-04-10,31291500,28111100,160459500,6069700.0
2026-04-13,36234700,35745800,133648200,8318200.0
2026-04-14,48370700,37504500,161307000,11455500.0
2026-04-15,49913500,45063400,185338400,9885800.0
2026-04-16,43323100,41642400,134012900,8208600.0
2026-04-17,61436200,48568200,160324400,11082400.0
2026-04-20,36590200,27582200,119381400,10772000.0
2026-04-21,50209800,32048500,107945300,7084300.0
2026-04-22,43249200,29378200,107501000,5545900.0
2026-04-23,33399600,38308000,113561800,6969700.0
2026-04-24,38157100,27457400,214134400,5215300.0
2026-04-27,41466800,30867300,187172400,7925300.0
2026-04-28,40018900,30438100,180275400,7398600.0
2026-04-29,30047900,38288300,123711800,8031800.0
2026-04-30,91848200,70909400,225239200,8865400.0
2026-05-01,79915400,31372400,128647000,6135400.0
2026-05-04,46668400,28066500,125368100,7338200.0
2026-05-05,49311700,25700900,113406600,6316800.0
2026-05-06,58336100,30285900,188362800,8629500.0
2026-05-07,45224300,34942400,168307900,8359600.0
2026-05-08,52692800,33383800,136421400,9464300.0
2026-05-11,42247300,35657900,160685800,9512000.0
2026-05-12,45748100,38594200,159176600,9498200.0
2026-05-13,52684300,29667100,150405400,7709500.0
2026-05-14,35324900,27077500,180782900,7364300.0
2026-05-15,54862800,50771200,180977600,8699300.0
2026-05-18,34483000,32564100,146280900,7546300.0
2026-05-19,42243600,33018700,140948200,8066900.0
2026-05-20,38229800,27864000,184201600,9327000.0
2026-05-21,42965100,31393500,203381800,7874400.0
2026-05-22,43670200,22390300,169275700,5973900.0
2026-05-26,48000500,30398000,187202600,7725400.0
2026-05-27,50430900,28901500,167601200,11779200.0
2026-05-28,48220400,47250500,143996000,9757700.0
2026-05-29,70026800,79654400,289410600,13969000.0
2026-06-01,48849900,53628900,212850700,7930000.0
2026-06-02,44534700,37036800,193362900,8296200.0
2026-06-03,50836700,39037000,160907000,7003900.0
2026-06-04,44869100,26899500,169022200,10345200.0
2026-06-05,65310500,34782200,219655500,9118800.0
2026-06-08,77949100,32086700,138372800,6827000.0
2026-06-09,70108800,35317300,180962500,11594600.0
2026-06-10,52793300,32576000,161746600,7446200.0
2026-06-11,42572500,47224100,158643200,9116600.0
2026-06-12,38742100,34865800,112001800,7426200.0
2026-06-15,45732600,32266400,149936700,7988900.0
2026-06-16,39874400,31506800,125694100,11094900.0
2026-06-17,42745100,41987800,128363500,12246400.0
2026-06-18,85962200,59714200,241272000,20111000.0
2026-06-22,44879900,45171100,122041400,10182500.0
2026-06-23,52010900,40647600,153496200,7582200.0
2026-06-24,53081900,44509900,151810700,7907400.0
2026-06-25,107013700,66179000,149550000,10043100.0
2026-06-26,261775500,186201600,179304100,17640900.0
2026-06-29,66427000,51229900,148835700,7981800.0
2026-06-30,65100200,44945700,166476700,8080100.0
2026-07-01,50164200,48065800,146147600,15210200.0
2026-07-02,75352800,42128900,142068700,8413900.0
2026-07-06,53590000,34224500,108999000,8673500.0
2026-07-07,42490000,29297500,124154600,7115800.0
2026-07-08,41323500,25908300,147419100,18505200.0
2026-07-09,48124500,31083200,132037400,15570600.0
2026-07-10,34132300,24644600,148421000,6299000.0
2026-07-13,43257800,28914900,121411000,7120300.0
2026-07-14,36336800,27863900,124379600,14537900.0
2026-07-15,60957600,36253700,124797200,10750000.0
2026-07-16,62970600,37047400,122986100,12432400.0
2026-07-17,63407100,33049800,144281900,9250900.0
2026-07-20,53468000,27915800,88701500,7723300.0
2026-07-21,41338900,24126600,108685600,6015300.0
2026-07-22,38755900,28142500,137645600,8040200.0
